bars  francais	2	01 45 08 12 99	46 rue croix des petits champs	1	les majorettes	5.0	bourse
libanais  falafel	1	06 80 07 15 64	54 rue des lombards	1	thym-thym	4.5	chatelet les halles
francais	4	01 70 98 74 00	251 rue saint-honore	1	camelia	4.5	place vendome
francais	3	01 43 54 21 48	15 place dauphine	1	mon paul	3.5	1er
chinois	2	####	150 rue saint honore	1	autour du yangtse	4.5	palais royal musee du louvre
francais  bars lounge  bars a cocktails	4	01 44 58 10 10	228 rue de rivoli	1	bar 228	4.5	concorde madeleine
francais  salons de the  cuisines asiatiques	4	01 40 26 08 07	121 rue saint-honore	1	yam'tcha	4.5	chatelet les halles
bbq & grillades  francais	3	01 40 28 00 00	49 rue berger	1	les crocs des halles	4.5	chatelet les halles
viandes	3	09 54 37 13 65	58 rue jean-jacques rousseau	1	beefclub	3.5	chatelet les halles
japonais	2	01 40 15 92 54	39 rue sainte anne	1	udon jubey	4.0	palais royal musee du louvre
bars  boites de nuit clubs  cuisines asiatiques	4	01 40 39 09 00	1 rue du pont neuf	1	kong	3.0	chatelet les halles
japonais	3	01 42 86 03 42	272 rue saint honore	1	nodaiwa	4.0	palais royal musee du louvre
francais	3	01 42 60 97 54	159 rue st honore	1	cafe ruc	3.0	palais royal musee du louvre
boulangeries-patisseries  sandwichs	2	09 51 84 17 04	16 rue sainte-anne	1	aki boulanger	4.0	palais royal musee du louvre
francais  bars a vins	3	01 42 61 05 09	13 rue des petits champs	1	willi's wine bar	4.0	palais royal musee du louvre
cafes	2	01 40 39 92 34	24 rue berger	1	le cafe l'exception	4.5	chatelet les halles
francais  cuisines asiatiques	4	01 70 98 78 88	251 rue saint-honore	1	sur mesure	4.5	place vendome
creperies  stands de restauration	1	####	22 rue saint denis	1	royal crepe	4.0	chatelet les halles
japonais	2	01 40 26 50 10	54 rue jean jacques rousseau	1	hokkaido	4.0	chatelet les halles
boulangeries-patisseries  patisseries  sandwichs	2	####	7 jardin du carrousel	1	paul	4.5	1er
francais	2	01 45 08 92 06	19 galerie vero-dodat	1	restaurant vero-dodat	4.0	palais royal musee du louvre
brasseries	2	01 42 96 56 72	49 rue des petits champs	1	la clef des champs	5.0	palais royal musee du louvre
francais	3	01 42 60 34 12	8 rue duphot	1	le baudelaire	4.5	concorde madeleine
bars  bistrot	2	01 40 20 09 36	9 rue petits champs	1	l'avant premiere	4.0	palais royal musee du louvre
japonais  coreen	2	01 47 03 94 38	18 rue therese	1	ace gourmet bento	4.0	palais royal musee du louvre
bars  francais	2	01 53 00 98 95	19 avenue victoria	1	le dernier bar avant la fin du monde	3.5	chatelet les halles
cafes  cafes et thes	1	####	216 rue de rivoli	1	cafe rivoli park	3.5	place vendome
brasseries	3	01 53 45 84 50	####	1	champeaux	3.5	chatelet les halles
marocain	3	01 42 61 38 83	9 rue danielle casanova	1	le maroc	4.0	place vendome
japonais  fast food  cuisines asiatiques	1	01 47 03 38 59	32 bis rue sainte anne	1	higuma	3.5	palais royal musee du louvre
italien  pizza	2	01 71 39 30 59	35 rue saint-honore	1	pizza wawa	4.0	chatelet les halles
chinois	2	01 42 60 88 39	9 rue moliere	1	fusion	4.0	palais royal musee du louvre
cafes	3	01 42 36 74 03	1 place du chatelet	1	le zimmer	4.0	chatelet les halles
burger  bars a jus de fruits & smoothies	2	01 40 26 65 35	25 boulevard de sebastopol	1	steak n shake	4.0	chatelet les halles
japonais	2	01 47 03 96 37	9 rue ste anne	1	yasube	4.0	palais royal musee du louvre
francais  bars  petit dejeuner & brunch	3	01 42 36 73 23	44 rue du louvre	1	loup	4.0	chatelet les halles
cambodgien	2	01 42 60 59 46	9 rue therese	1	la mousson	4.0	palais royal musee du louvre
brasseries	2	01 42 33 32 37	14 quai du louvre	1	cafe du pont neuf	3.5	1er
japonais	2	01 42 96 27 60	11 rue sainte-anne	1	izakaya taisho ken 3	4.0	palais royal musee du louvre
japonais	4	01 42 60 65 07	9 rue du mont thabor	1	kinugawa	4.0	place vendome
marocain  oriental	3	01 45 08 09 51	25 avenue victoria	1	yahmi	4.0	chatelet les halles
francais	2	01 40 41 14 14	4 rue d'alger	1	restaurant la tamise	4.0	place vendome
bistrot  francais	3	01 42 60 77 34	39 rue de l'arbre sec	1	racines 2	4.0	chatelet les halles
coreen  chinois  japonais	2	01 42 60 58 88	14 rue sainte-anne	1	chikoja	3.5	palais royal musee du louvre
japonais	4	01 42 61 60 71	6 rue de la sourdiere	1	jin	4.5	palais royal musee du louvre
pizza  italien	2	01 40 39 06 40	37 rue berger	1	la famiglia	3.5	chatelet les halles
libanais	2	01 47 03 33 15	41 rue de richelieu	1	damouri	4.0	palais royal musee du louvre
italien	3	01 42 60 90 66	47 rue arbre sec	1	le fellini	4.0	chatelet les halles
ramen	2	01 40 13 95 32	16 rue de la grande truanderie	1	hakata choten	4.0	chatelet les halles
cuisines de l'amerique latine	2	01 40 26 84 31	44 rue coquilliere	1	comptoir montevideo	5.0	bourse
bistrot	3	01 42 61 35 04	1 place de valois	1	bistrot valois	3.5	palais royal musee du louvre
